phase_ns,object,q,slot,lower,upper
0,muon,0.001,379,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,380,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,381,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,389,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,390,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,391,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,392,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,393,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,394,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,395,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,396,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,397,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,398,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,399,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,400,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,401,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,402,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,403,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,404,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,405,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,406,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,407,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,408,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,409,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,410,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,411,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,412,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,413,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,414,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,415,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,416,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,417,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,418,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,419,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,420,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,421,0.00018300303517229064,0.0009504552758435992
0,muon,0.001,422,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,423,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,424,0.00018300303517229064,0.0007476343510087484
